handicapped_infants_n,handicapped_infants_y,water_project_cost_sharing_n,water_project_cost_sharing_y,religious_groups_in_schools_n,religious_groups_in_schools_y,crime_n,crime_y,class_name
1,0,0,1,0,1,0,1,republican
1,0,0,1,0,1,0,1,republican
1,0,0,1,0,1,1,0,democrat
0,1,0,1,0,1,0,1,democrat
1,0,0,1,0,1,0,1,democrat
1,0,0,1,0,1,0,1,democrat
1,0,0,1,1,0,1,0,republican
1,0,0,1,0,1,0,1,republican
0,1,0,1,1,0,1,0,democrat
1,0,0,1,1,0,0,1,republican
1,0,0,1,1,0,1,0,democrat
0,1,0,1,0,1,1,0,democrat
0,1,1,0,0,1,1,0,democrat
